Year,Engineering Women,Engineering Total,Chemistry Women,Chemistry Total,Physics Women,Physics Total,Math and Stats Women,Math and Stats Total,Biology Women,Biology Total,Computer Science Women,Computer Science Total
1966,146,35826,1801,9735,224,4608,6689,20090,7334,23477,,
1967,184,36197,1771,9872,267,4733,7310,21308,7790,25476,,
1968,216,37680,1965,10847,296,5045,8786,23625,8717,28710,,
1969,312,41582,2156,11807,322,5535,10227,27330,9725,32388,,
1970,337,44770,2116,11617,329,5333,10317,27565,10242,34303,,
1971,361,45248,2095,11183,343,5076,9494,24918,10571,36033,,
1972,492,45711,2120,10721,323,4645,9323,23848,11147,37638,,
1973,576,46779,1967,10226,313,4268,9345,23223,12824,42672,,
1974,698,43248,2112,10525,337,3962,8939,21813,15378,48856,,
1975,845,39824,2385,10649,362,3716,7700,18346,17416,52236,,
1976,1317,38790,2497,11107,388,3544,6554,16085,19119,54913,,
1977,2044,41357,2602,11322,358,3420,5949,14303,19719,54193,,
1978,3482,47251,2881,11474,369,3330,5246,12701,20223,52213,,
1979,4881,53469,3113,11643,399,3338,4958,11901,20105,49576,,
1980,5952,58810,3277,11446,434,3397,4848,11473,19976,47111,,
1981,7063,63717,3475,11540,432,3441,4781,11173,19586,44046,,
1982,8275,67460,3613,11316,461,3475,5058,11708,19363,42427,,
1983,9652,72670,3736,11039,483,3800,5550,12662,18957,40883,,
1984,10729,76153,3825,10912,560,3921,5987,13511,18691,39639,,
1985,11246,77572,3894,10701,561,4111,7094,15389,18970,39405,,
1986,11138,76820,3744,10317,611,4189,7680,16531,19113,39509,,
1987,11404,74425,3674,9830,763,4746,7682,16515,19008,39047,13889,39927
1988,10779,70154,3652,9158,653,4476,7412,15981,19080,37688,,
1989,10188,66947,3431,8822,688,4735,7050,15314,18654,36949,9545,30963
1990,9973,64705,3324,8289,735,4558,6811,14674,19409,38040,8374,27695
1991,9665,62187,3415,8461,733,4650,6980,14784,20636,40351,7514,25410
1992,9636,61941,3593,8829,742,4515,6986,14931,22771,43892,7184,24854
1993,9981,62705,3744,9109,746,4448,6999,14853,24844,47989,6912,24477
1994,10403,63012,3969,9641,765,4393,6768,14632,26980,52321,6992,24458
1995,10950,63371,4233,10016,736,4171,6491,13851,29918,56890,7063,24769
1996,11314,63077,4621,10711,749,4027,5990,13064,32854,62061,6765,24505
1997,11471,62356,4881,10923,717,3743,5885,12715,35255,65103,6904,25396
1998,11341,60925,4973,10874,726,3781,5660,12095,37106,67121,7474,27739
1999,11706,59211,4833,10417,755,3529,5930,12313,37736,66480,8254,30425
2000,12206,59487,4905,10388,803,3719,5598,11714,37951,64887,10522,37519
2001,12016,59746,5051,10406,919,4118,5917,12667,38025,63708,12556,45142
2002,12801,61054,5009,10035,1025,4468,6198,13612,38772,63602,14121,51028
2003,13111,64371,4993,9947,1036,4705,6364,14396,40462,65163,16042,59136
2004,13451,65579,5126,9990,1141,5042,6910,15518,41425,66440,15398,61172
2005,13362,66897,5538,10639,1155,5200,7235,16666,43512,70010,12542,56013
2006,13487,68899,5970,11494,1191,5618,7547,17295,46314,75054,10125,48821
2007,12812,68996,5972,11974,1253,5932,7518,17635,49326,81608,8084,43338
2008,13045,70543,6226,12489,1220,6010,7704,17851,50601,84642,7056,39675
2009,12885,71344,6486,12925,1178,5983,7679,18337,52430,87830,7058,39291
2010,13815,74967,6551,13146,1263,6177,8070,19143,54233,92013,7485,40878
2011,14814,78810,6717,13727,1271,6409,8745,20785,57275,96250,7928,44516
2012,16125,83990,7148,14598,1355,6887,9636,22913,60834,102647,9034,49016
2013,17112,88591,7103,14886,1449,7411,10500,25007,63616,107538,9528,52874
2014,18810,94877,7487,15528,1528,7787,10782,25760,66490,112510,10549,57714
2015,20257,100904,7506,15567,1512,8128,11281,26947,70428,118282,11303,61992
2016,22713,108610,7493,15515,1700,8590,11754,28340,73326,121253,12844,67358
2017,25197,117178,7954,16133,1825,8813,12301,30048,76719,124748,14560,74618
2018,27590,123972,7757,15755,2012,9283,13149,31718,80100,127538,17085,83468